Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Q/Mean,Q/Stdev,Q/Max,Q/Min
1,0.0,0.0,1.0,17278.0,17278.0,8639.0,8639.0,0.0,,,1.0,0.03724241256713867,,,,,,,,,,,,,,,,,,,,,0.06012070644137776,2.224912270972417,26.14218201899999,-16.87911999999551,,,,
2,8638.0,0.0,0.0,34556.0,34556.0,8639.0,17278.0,0.0,39.03374999999426,39.03374999999426,1.0,3658.18994808197,,,,,,,,,599.2412277861142,594.1235090966661,21860.96875,510.9225769042969,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,1930.1239,35968.953,1163690.6,0.7910512,0.013419856566151515,0.28897031310381305,4.172909999996477,-10.98625000000095,4.077898680423992,1.78687047689743,9.517721325500153,-10.000000000014404
3,17277.0,0.0,0.0,51834.0,51834.0,8639.0,25917.0,0.0,136.83197000000166,136.83197000000166,1.0,7350.686473846436,,,,,,,,,574.5954379916163,5.314090451568762,590.1614990234375,552.4198608398438,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,23.150969,12.474548,106.00196,4.148947,0.04704301818462843,1.2530261608271034,24.9942284860033,-26.479739999997946,4.443625124132203,0.36257915811998065,7.013332516553186,2.1025445684790616
4,25916.0,0.0,0.0,65536.0,65536.0,8639.0,34556.0,0.0,161.0261900000022,161.0261900000022,1.0,11025.199007034302,,,,,,,,,580.6598412879614,2.4897818349244387,588.5153198242188,573.567626953125,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,49.38074,14.050283,143.44077,18.723808,0.055361024067485415,0.4892370599790779,8.296220074995567,-13.566679999995813,3.491287156679625,0.3145561723063243,4.514462499822473,2.3637696498772134
5,34555.0,0.0,0.0,65536.0,65536.0,8639.0,43195.0,0.0,-127.72339999998894,-127.72339999998894,0.0,14736.254341602325,,,,,,,,,579.9960900333419,2.434811962753585,665.2374877929688,573.7291259765625,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,77.54686,24.121643,1542.6963,33.84498,-0.04391147937723894,3.2903002467726306,43.70633366799916,-94.03992000000198,3.3371912454983583,0.3233901147217069,8.72599682852815,-9.545034472847739
6,43195.0,0.0,0.0,65536.0,65536.0,8639.0,51834.0,0.0,,,0.0,18583.59548354149,,,,,,,,,,,,,,,,,,,,,,,,,2.678895922024815,0.243715027789453,3.0047754626519634,2.1286853542262096
7,51833.0,0.0,0.0,65536.0,65536.0,8639.0,60473.0,0.0,464.27943000000266,464.27943000000266,1.0,22246.77045440674,0.0,0.0,0.0,,,,,,579.3868854767361,3.548219128404566,591.7589721679688,566.5172119140625,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,128.70935,28.279701,360.70737,52.946266,0.15961990219273153,1.08952366077522,17.323399999999083,-18.62328000000275,2.7555863858022525,0.2845647208060109,3.3440462196526894,1.5415207075916562
8,60472.0,0.0,0.0,65536.0,65536.0,8639.0,69112.0,0.0,631.6482500000022,631.6482500000022,1.0,25914.202414512634,,,,,,,,,570.7634399512986,6.785683375704402,590.2133178710938,550.36572265625,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,154.44948,36.35719,426.49988,58.90511,0.2171615311176071,1.1365769663789878,22.799999999998363,-17.018700000001502,2.7040647150324797,0.31935311002720107,3.5554024867451526,1.5227917215321218
9,69111.0,0.0,0.0,65536.0,65536.0,8639.0,77751.0,0.0,228.66256000006763,228.66256000006763,1.0,29560.88529109955,,,,,,,,,559.5966620581049,4.033012991875097,573.360107421875,546.86181640625,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,172.35606,40.054405,444.74786,78.740715,0.07861450045794662,2.7146741674157036,19.704986897000005,-82.93883000000142,3.026914485869572,0.3571205548975827,3.9021414594845796,1.82331211358172
10,77750.0,0.0,0.0,65536.0,65536.0,8639.0,86390.0,0.0,309.3237300000237,309.3237300000237,0.0,33165.075192928314,,,,,,,,,535.670961154338,9.03556294854626,560.2334594726562,510.674560546875,0.0002500000000000001,1.0842021724855044e-19,0.00025,0.00025,192.07173,48.3393,517.44366,78.57711,0.10634592087892933,0.7436945686518889,20.414450000000443,-1.4028300000022682,3.2467450506292095,0.30745930259295123,4.144002790672722,2.386475652188529
